ef,sku,nombre_comercial,forma,costo_usd,precio_usd
E.F.G.32.409,ME32409,AMOXICILINA - ACIDO CLAVULANICO 875 mg - 125 mg COMPRIMIDOS,COMPRIMIDOS,7.62,12.70
E.F.G.32.411,ME32411,BUDESONIDA 50 mcg / DOSIS SUSPENSION PARA INHALACION ORAL,SUSPENSION ORAL,21.27,35.45
E.F.32.457,ME32457,TALZIC 1 mg / mL SOLUCION ORAL,SOLUCION ORAL,3.04,5.07
E.F.G.32.490,ME32490,CETIRIZINA 1 mg / mL SOLUCION ORAL,SOLUCION ORAL,1.83,3.05
E.F.G.32.566,ME32566,"CLORURO DE SODIO 0,9 % SOLUCION ISOTONICA PARA IRRIGACION ESTERIL",LOCION,1.74,2.90
E.F.G.32.643,ME32643,VITAMINA C 100 mg / 5 mL SOLUCION ORAL,SOLUCION ORAL,6.13,10.22
E.F.32.679,ME32679,"ACRYLARM 0,2 % GEL OFTALMICO",GEL,27.4,45.67
E.F.G.32.717,ME32717,SECNIDAZOL 1 g COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,2.86,4.77
E.F.G.32.828,ME32828,IBUPROFENO 100 mg / 5 mL SUSPENSION ORAL,SUSPENSION ORAL,4.58,7.63
E.F.G.32.878,ME32878,GLIMEPIRIDA 4 mg TABLETAS,TABLETAS,11.1,18.50
E.F.32.977,ME32977,CETRAL 5 mg / 5 mL SOLUCION ORAL,SOLUCION ORAL,3.88,6.47
E.F.33.286,ME33286,TALERC 10 mg / mL SOLUCION ORAL,SOLUCION ORAL,2.19,3.65
E.F.G.33.347,ME33347,ACIDO FOLICO 10 mg COMPRIMIDOS,COMPRIMIDOS,0.99,1.65
E.F.G.33.398,ME33398,CLARITROMICINA 500 mg COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,7.72,12.87
E.F.33.482,ME33482,MIGRADORIXINA 125 mg - 1 mg COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,3.14,5.23
E.F.33.581,ME33581,"CLOFEN 1,8 mg / mL SUSPENSION ORAL",SUSPENSION ORAL,7.64,12.73
E.F.G.33.712,ME33712,"GLICERINA 1,68 g SUPOSITORIOS",SUPOSITORIOS,4.67,7.78
E.F.G.33.713,ME33713,"GLICERINA 2,88 g SUPOSITORIOS",SUPOSITORIOS,6.28,10.47
E.F.33.823,ME33823,MISELLIM 10 mg COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,4.56,7.60
E.F.33.876,ME33876,"ALERGOT 0,05 % SOLUCION OFTALMICA",SOLUCION OFTALMICA,3.32,5.53
E.F.33.963,ME33963,"TODENAC 0,3 % - 0,1 % SOLUCION OFTALMICA",SOLUCION OFTALMICA,17.18,28.63
E.F.G.33.987,ME33987,ACIDO FOLICO 10 mg / mL SOLUCION ORAL,SOLUCION ORAL,1.53,2.55
E.F.34.032,ME34032,APIRET 180 mg / 5 mL  SOLUCION ORAL,SOLUCION ORAL,2.1,3.50
E.F.34.036,ME34036,"SOLUCION PARA DIALISIS PERITONEAL CON DEXTROSA AL 1,5 % BAJA EN MAGNESIO",LOCION,4.48,7.47
E.F.G.34.160,ME34160,AMOXICILINA - ACIDO CLAVULANICO 400 mg - 57 mg / 5 mL  POLVO PARA SUSPENSION ORAL,POLVO PARA RECONSTITUCION,9.58,15.97
E.F.34.224,ME34224,TERBICRYM 1 % CREMA,CREMA,2.92,4.87
E.F.G.34.437,ME34437,"NITROFURAZONA 0,2 % CREMA",CREMA,3.49,5.82
E.F.G.34.468,ME34468,IBUPROFENO 100 mg / 5 mL SUSPENSION,SUSPENSION ORAL,3.69,6.15
E.F.34.580,ME34580,"DIKLASON 1,8 mg / mL SUSPENSION ORAL",SUSPENSION ORAL,6.52,10.87
E.F.34.732,ME34732,"AVODART 0,5 mg CAPSULAS BLANDAS",CAPSULAS,17.27,28.78
E.F.34.754,ME34754,TONUM 1 mg / mL  SUSPENSION ORAL,SUSPENSION ORAL,3.34,5.57
E.F.G.34.772,ME34772,CLOTRIMAZOL 1 % CREMA VAGINAL,CREMA,2.39,3.98
E.F.34.819,ME34819,"OPAT 0,1 % SOLUCION OFTALMICA",SOLUCION OFTALMICA,7.13,11.88
E.F.34.845,ME34845,COLLOVAR SOLUCION,LOCION,4.14,6.90
E.F.34.879,ME34879,"REFLUXYL 0,400 g - 0,375 g / 15 mL SUSPENSION ORAL",SUSPENSION ORAL,9.79,16.32
E.F.34.903,ME34903,"DENCOFEN 1,16 % CREMA EN BASE GEL",CREMA,3.56,5.93
E.F.34.952,ME34952,"MAILEN 2,5 mg / 5 mL JARABE",JARABE,4.42,7.37
E.F.34.986,ME34986,GYNO CLOCIM 1% CREMA VAGINAL,CREMA,2.41,4.02
E.F.G.35.002,ME35002,AMOXICILINA 250 mg / 5 ml POLVO PARA SUSPENSION ORAL,POLVO PARA RECONSTITUCION,5.18,8.63
E.F.G.35.022,ME35022,L - CARNITINA 1 g / 10 mL SOLUCION ORAL,SOLUCION ORAL,7.21,12.02
E.F.G.35.027,ME35027,ALBENDAZOL 200 mg TABLETAS RECUBIERTAS MASTICABLES,TABLETAS,1.18,1.97
E.F.35.040,ME35040,"DIAGESIC 1,8 mg / mL SUSPENSION ORAL",SUSPENSION ORAL,7.38,12.30
E.F.G.35.158,ME35158,BROMHEXINA CLORHIDRATO 8 mg / 5 mL JARABE,JARABE,4.53,7.55
E.F.G.35.191,ME35191,"DESLORATADINA 0,5 mg / mL SOLUCION ORAL",SOLUCION ORAL,3.72,6.20
E.F.G.35.192,ME35192,CLOTRIMAZOL 2 % CREMA VAGINAL,CREMA,4.69,7.82
E.F.35.193,ME35193,GYNOCLOCIM 2 % CREMA VAGINAL,CREMA,4.09,6.82
P.F.352,ME352,"LECHE DE MAGNESIA 8,5 % SUSPENSION SABOR ORIGINAL",SUSPENSION ORAL,6.01,10.02
E.F.35.202,ME35202,NIPE PLUS GRANULADO PARA SUSPENSION SABOR A FRUTAS TROPICALES,GRANULADOS,4.97,8.28
E.F.35.373,ME35373,"FULGRAM 600 mg - 42,9 mg / 5 mL POLVO PARA SUSPENSION",POLVO PARA RECONSTITUCION,13.16,21.93
E.F.35.409,ME35409,"ALFADYN 0,2 % SOLUCION OFTALMICA",SOLUCION OFTALMICA,13.08,21.80
E.F.35.431,ME35431,"BIOKETOF 2,5% GEL PARA USO T",GEL,4.68,7.80
E.F.G.35.447,ME35447,MONTELUKAST 10 mg COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,2.51,4.18
E.F.35.503,ME35503,"QUINOMAX 0,5% SOLUCION OFTALMICA",SOLUCION OFTALMICA,16.63,27.72
E.F.35.671,ME35671,TACHIPIRIN FORTE 160 mg / 5 mL SUSPENSION ORAL,SUSPENSION ORAL,2.62,4.37
E.F.G.35.688,ME35688,DOMPERIDONA 10 mg COMPRIMIDOS,COMPRIMIDOS,3.91,6.52
E.F.G.35.710,ME35710,MUPIROCIN 2 % UNGUENTO,UNGUENTO,6.64,11.07
E.F.35.718,ME35718,"CORENTEL H 5 mg - 6,25 mg COMPRIMIDOS RECUBIERTOS",COMPRIMIDOS,2.12,3.53
E.F.35.719,ME35719,"CORENTEL H 10 mg - 6,25 mg COMPRIMIDOS RECUBIERTOS",COMPRIMIDOS,5.54,9.23
E.F.G.35.922,ME35922,OXOLAMINA CITRATO 50 mg / 5 mL JARABE,JARABE,4.65,7.75
E.F.35.927,ME35927,COROPRES 16 mg COMPRIMIDOS,COMPRIMIDOS,3.45,5.75
E.F.35.935,ME35935,FLATORIL 80 mg / mL SUSPENSION GOTAS,SUSPENSION ORAL,6.02,10.03
E.F.G.36.008,ME36008,VITAMINA C 50 mg / 5 mL JARABE,JARABE,3.61,6.02
E.F.36.047,ME36047,PRESIDERM 2 % UNGUENTO,UNGUENTO,7.01,11.68
E.F.G.36.242,ME36242,"CLOBETASOL PROPIONATO 0,05% UNGUENTO",UNGUENTO,5.78,9.63
E.F.36.249,ME36249,GYNOTRAN 15%-4% CREMA VAGINAL,CREMA,6.91,11.52
E.F.36.263,ME36263,"CURPINOL 12,5 mg COMPRIMIDOS",COMPRIMIDOS,1.94,3.23
E.F.36.264,ME36264,CURPINOL 25 mg COMPRIMIDOS,COMPRIMIDOS,8.86,14.77
E.F.36.302,ME36302,ZONTRICON 100mg/5mL POLVO PARA SUSPENSION,POLVO PARA RECONSTITUCION,25.31,42.18
E.F.G.36.304,ME36304,CIPROFLOXACINA 500 mg COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,4.84,8.07
