descripcion,costo_usd,ef,pa_drovencentro,score
KEYDOL COMP REC 600MG/4MG X20 MEG,8.78,E.F.43.753,IBUPROFENO 600MG + TIOCOLCHICOSIDO 4MG,0.000
LAFARCAINA TAB NAR X16 ELM,3.62,E.F.16.175,CLORURO DE CETILPIRIDINIO + LIDOCAINA 16PAST,0.000
LERCANIDIPINA HCL COMP REC 20MG X10 LETI,7.10,E.F.G.44.041,LERCANIDIPINA 20MG,0.000
LERCANIDIPINA HCL COMP REC 20MG X30 LETI,30.39,E.F.G.44.041,LERCANIDIPINA 20MG,0.000
LESTECOL TAB REC 20MG X30 BIOTECH,8.77,E.F.37.396,ATORVASTATINA 20MG,0.000
LETISAN GTS PED 20ML LETI,13.16,E.F.44.036,VITAMINA C,0.000
LEVORAT TAB REC 5MG X10 L.O,7.32,E.F.42.231,LEVOCETIRIZINA 5MG,0.000
LIBERDUX TAB 5MG X 10 MEYER,3.06,E.F.43.146,"DESLORATADINA 2,5/5ML",0.000
"LODESTAR TAB REC HCT 50MG/12,5MG X30 VLM",7.35,E.F.41.446,LOSARTAN POTASICO 50MG,0.000
LONGACEF SUSP 100MG 60ML LETI,43.67,E.F.27.475,CEFIXIMA 100MG/5ML,0.000
LORATADINA SOL ORAL PED 1MG/ML 60ML L.O,4.58,E.F.G.30.034,LORATADINA 1MG/ML JARABE 60ML,0.000
LOSARTAN POT COMP/REC 100MG X30 SPEFAR,5.95,E.F.G.36.980,"LOSARTAN POTASICO 100MG + HIDROCLOROTIAZIDA 12,5MG",0.000
LOSARTAN POTA TAB REC 100MG X10 KIMIC,1.82,E.F.G.36.980,"LOSARTAN POTASICO 100MG + HIDROCLOROTIAZIDA 12,5MG",0.000
LOSARTAN POTA TAB REC 50MG X20 KIMIC,1.30,E.F.G.29.469,LOSARTAN 50MG,0.000
LUDROX TAB REC 75MG X30 BIOTECH,8.94,E.F.42.760,CLOPIDOGREL 75MG,0.000
"MATILOL SOL OFT 0,50% 6ML L.O",12.88,E.F.23.582,TIMOLOL 0.5%,0.000
