proveedor,descripcion,costo,motivo
cobeca,"BETARRETIN CREM 0,025% 30G MEG",11.95,score_bajo
cobeca,"BETARRETIN CREM 0,05% 30G MEG",14.42,score_bajo
cobeca,"BETARRETIN GEL 0,025% 30G MEG",13.38,score_bajo
cobeca,BETARRETIN H CREM 5% 30G MEG,16.1,score_bajo
cobeca,BETARRETIN H LOC 5% 60ML MEG,20.52,score_bajo
cobeca,"BETARRETIN LOC 0,05% 60ML MEG",19.35,score_bajo
cobeca,"BETASALICIS CREM 0,1%/0,05% 20G BOOZ",4.03,sin_candidato
cobeca,"BETASKIN CREM TOP 0,05% 15G TIAR",2.51,sin_candidato
cobeca,BETASOL UNG 30G SEF,5.78,sin_candidato
cobeca,BETAYODINE SOL 10% X100ML LYA,8.45,sin_candidato
cobeca,BETAYODINE SOL/JAB LYA 10% X 100 ML,8.87,sin_candidato
cobeca,BEUSAN JBE CEBOLLA MORAD 240ML HERB,5.32,sin_candidato
cobeca,BEUSAN JBE EXPECTORANTE 240ML HERB,6.07,sin_candidato
cobeca,BEUSAN JBE PLUS 240ML HERB,6.07,sin_candidato
cobeca,"BEXADERM CREM 1%/0,01%/0,05% 20G PORTU",3.27,sin_candidato
cobeca,"BICOL COMP REC 160/12,5MG X14 MEY",14.18,sin_candidato
cobeca,"BICOL COMP REC 80MG/12,5MG X14 MEY",7.45,sin_candidato
cobeca,"BIOCOR/HTC TAB REC 40MG/12,5MG X30 CLX",19.47,score_bajo
cobeca,BIODERMA SEBIUM H2O SOL X 100 ML,20.09,sin_candidato
cobeca,BIOFENIT AMP IV/IM 250MG/5ML X10 CR BIO,12.64,sin_candidato
cobeca,BIOMYCIN SOL OFT 3MG/ML X5ML CR BIO,3.4,score_bajo
cobeca,BIOSONA PVO LIOFIZ VIAL 500MG X1 CR BIO,12.53,score_bajo
cobeca,"BIOTALOL HCT COMP REC 2,5/6,25MGX30 LETI",11.5,score_bajo
cobeca,BIOTIC HC SOL 1% X5ML CR BIO,8.23,sin_candidato
cobeca,"BIOTILOL SOL OFT 0,5% X10 ML CR BIO",3.95,sin_candidato
cobeca,BIOTINA CAP 5000MCG X30 VAL,11.75,sin_candidato
cobeca,"BIPROLIL HCT COMP REC 2,5/6,25MGX30 VARG",6.92,score_bajo
cobeca,BIRGIT COMP REC 100MG X10 MEG,4.42,score_bajo
cobeca,BIRGIT COMP REC 100MG X30 MEG,16.23,score_bajo
cobeca,BIRGIT PLUS COM/REC 50MG/1000MG X 30,28.18,score_bajo
cobeca,BIRGIT PLUS COMP REC 50MG/500MG X30 MEG,23.12,score_bajo
cobeca,BIRGIT PLUS COMP REC 50MG/850MG X30 MEG,28.57,score_bajo
cobeca,"BISMUALIV SUSP/ORAL 87,33MG/5ML X 150ML",5.38,sin_candidato
cobeca,BISOBLOC TAB 10MG X30 GFARM,13.97,score_bajo
cobeca,"BISOBLOC/HCT TAB 10MG/6,25MG X30 GFARM",16.48,score_bajo
cobeca,BITRILVA TAB 100MG X30 ZORIAK,25.74,sin_candidato
cobeca,BITRILVA TAB 50MG X 30,22.52,sin_candidato
cobeca,BLOKXA TAB REC 10MG X14 CLX,5.58,score_bajo
cobeca,BLOKXA TAB REC 10MG X28 CLX,9.53,score_bajo
cobeca,BLOKXA TAB REC 15MG X28 CLX,14.03,score_bajo
cobeca,BLOKXA TAB REC 20MG X14 CLX,10.36,score_bajo
cobeca,BLOKXA TAB REC 20MG X28 CLX,17.82,score_bajo
cobeca,BLUDHES TAB REC 500MG X30 BLUE,11.45,sin_candidato
cobeca,BLUFEN PLUS TAB 800MG X10 BLUE/M,0.61,sin_candidato
cobeca,BLUXCEDRIN TAB/REC 250MG/250MG/65 X 10,1.53,sin_candidato
cobeca,BLUXIMA PVO SUSP 100MG/5ML 60ML BLUE/M,3.9,sin_candidato
cobeca,BOLARIA COMP REC 16MG X60 MEG,19.87,score_bajo
cobeca,BON O BON BLANCO/CREM MANI DISP 15G X 15,9.26,sin_candidato
cobeca,BON O BON BLANCO/CREM MANI DISP 15G X 30,9.26,sin_candidato
cobeca,BON O BON CHOCO CHOCO DISP 15G X 15,5.26,sin_candidato
cobeca,BON O BON CHOCO/CREM MANI DISP 15G X 15,5.26,sin_candidato
cobeca,BON O BON CHOCO/CREM MANI DISP 15G X 30,9.26,sin_candidato
cobeca,BONAC GEL 4% 30G MEG,18.44,score_bajo
cobeca,BONAMES TAB REC 150MG FAR,4.36,score_bajo
cobeca,BONITROP GRAG 100MG X20 COFA,7.18,sin_candidato
cobeca,BOOZ SPORT CREM 40G BOOZ,2.17,sin_candidato
cobeca,BORIFEM CAP/VAG X 30,12.48,sin_candidato
cobeca,BORIFEM CREM INTIMA 2% X 25G,9.55,sin_candidato
cobeca,BRAL TAB 500MG BLIS 25X4 BIOTECH,27.52,score_bajo
cobeca,BRESIS COMP REC 600MG X20 MEG,8.96,score_bajo
cobeca,BRESIS COMP REC 600MG X30 MEG,12.21,score_bajo
cobeca,BRESIS PLUS COM/REC 500MG X 30,18.31,score_bajo
cobeca,BREXIN JBE 180MG/5ML 120ML COFA,2.77,score_bajo
cobeca,"BRIMOPRESS SOL OFT 0,2% 5ML MEG",14.68,score_bajo
cobeca,BRIXIA SOL/OFT X 6ML,12.86,score_bajo
cobeca,BRODILIN JBE PED 120ML VARG,5.77,score_bajo
cobeca,BROFLEMA SOL ORAL 4MG/5ML PED 120ML BIOT,3.78,score_bajo
cobeca,BROLAT JBE 5MG/30MG 60ML MEY,6.68,score_bajo
cobeca,BROMECOR JBE 4MG/5ML 120ML BIOQ,4.05,sin_candidato
cobeca,BRONCEADOR BIORGANIC CREM SPF 4 X 200G,3.34,sin_candidato
