descripcion_cobeca,codigo,codigo_barras,costo_usd,motivo
BARRA DERMO BRUCEN CLEAN P/GRASA 90G,28872,7592090000556,4.88,sin_candidato
BARRA DERMO BRUCEN CLEAN P/MIXTA 90G,28873,7592090000563,4.88,sin_candidato
BARRA DERMO BRUCEN CLEAN P/SECA 90G,28871,7592090000570,5.8,sin_candidato
BARRA DERMO LIMP BRUCEN KIDS 90G,52007,7592090000587,5.8,sin_candidato
BARRA DERMOLIMP BIOS BEBE LAVANDA X90G,29660,7595481000470,3.13,sin_candidato
BARRA DERMOLIMP BIOS BEBE MANZANILLAX90G,29659,7595481000463,3.19,sin_candidato
BARRA DERMOLIMP BIOS BEBE NEUTRO X 90G,29658,7595481000364,2.9,score_bajo
BARRA DERMOLIMP BIOS BLU X 80G,29663,7595481000432,2.55,sin_candidato
BARRA DERMOLIMP BIOS LIMP/FAC X 90G,29661,7595481000456,2.93,sin_candidato
BARRA DERMOLIMP BIOS MAXPRO X 80G,29662,7595481000425,2.58,sin_candidato
BARRA LIMP BIODERMA ATODERM INTEN 150G,34100,3401399373527,24.3,sin_candidato
BARRA NATURE VALLEY TRAIL MIX 35G X48,52241,016000439894,72,sin_candidato
BARRA PRO BAR CARAM SALADO 70G DISP X12,53734,853152100414,73.65,sin_candidato
BARRA PRO BAR PEANUT/CHOCO 70G DISP X12,53735,853152100391,73.65,sin_candidato
BARROCUTINA GEL FAC INVISIBLE 20G FC,16884,7593090002199,8.64,sin_candidato
BARROCUTINA GEL LIMP FAC 120ML FC,20040,7593090002397,13.34,sin_candidato
BASE D/COLOSTOM PLUSMEDIC 57MM SOB X10,50099,7597467002232,79.86,score_bajo
BB CREM ZOAH A/EDAD CLARO 50ML,21586,7596211001071,5.38,sin_candidato
BB CREM ZOAH A/EDAD MEDIO 50ML,21587,7596211001088,5.38,sin_candidato
BEBIDA LACTEA PVO MONTAÑA FRESCA 125G,27331,7596914000395,1.81,score_bajo
BEBIDA LACTEA PVO MONTAÑA FRESCA 400G,25523,7596914000401,5.35,score_bajo
BEBIDA LACTEA PVO MONTAÑA FRESCA 900G,27330,7596914000418,11.68,score_bajo
BEBIDA PVO NESQUIK CHOCO 570G,52439,28000428433,10.4,sin_candidato
BEBIDA PVO NESQUIK FRESA 532G,52440,28000846794,6.91,score_bajo
"BECUTENPLUS CREM 0,05/1/0,5% 30G TIAR",53379,198715024036,3.77,sin_candidato
"BEDEX SOL BUCAL 0,15% 120ML PLX",28364,7594001101871,4.97,score_bajo
BENFLUX JBE 120ML PLN,7034,7592348203005,4.01,score_bajo
"BENZODIAZOL TAB MAST NAR 0,25/5MGX16 MEY",97347,7592601301509,4.56,score_bajo
BEPROSPEN SUSP INY 7MG/ML + JER X1 BIOT,6249,7591243803730,11.51,sin_candidato
BEPROSPEN SUSP/INY 7MG/ML X 1 AMP,50750,7591243803754,9.12,sin_candidato
BERBERINA CAP 500MG X60 HERB,54293,7592710006234,25.17,sin_candidato
BERRO JBE 120ML RECETT,20897,7594001452348,3.51,sin_candidato
BERRO JBE 240ML ARC IRIS,13658,7592946168560,10.65,sin_candidato
BERRO JBE X 180ML BIOF,50340,7591616002258,4.97,sin_candidato
BERRYDOPHILUS TAB/MAST 2BILLION X 60,50168,733739029362,22.86,sin_candidato
BETADAC SUSP INY 4MG/3MG/ML X1 CR DAC,52954,7598578001114,4.27,sin_candidato
"BETADEX CREM 15G 0,1% LIALI",24647,021281083261,1.81,sin_candidato
