ef,sku,nombre_antes,nombre_despues,forma,frase_quitada,flag
E.F.G.37.274,ME37274,PANTOPRAZOL 40 mg COMPRIMIDOS CON CUBIERTA DE LIBERACION ENTERICA X 10 comprimidos,PANTOPRAZOL 40 mg X 10 COMPRIMIDOS CON CUBIERTA DE LIBERACION ENTERICA,COMPRIMIDOS,COMPRIMIDOS CON CUBIERTA DE LIBERACION ENTERICA,limpio
E.F.G.39.516,HO39516,PANTOPRAZOL 40 mg POLVO PARA SOLUCION INYECTABLE X 1 inyectable,PANTOPRAZOL 40 mg X 1 AMPOLLAS,INYECTABLE,POLVO PARA SOLUCION INYECTABLE,limpio
E.F.G.43.468,ME43468,PANTOPRAZOL 40 mg TABLETAS DE LIBERACION RETARDADA X 7 tabletas,PANTOPRAZOL 40 mg X 7 TABLETAS DE LIBERACION RETARDADA,TABLETAS,TABLETAS DE LIBERACION RETARDADA,limpio
E.F.G.37.850,ME37850,PAROXETINA 20 mg COMPRIMIDOS RECUBIERTAS X 30 tabletas,PAROXETINA 20 mg X 30 COMPRIMIDOS RECUBIERTAS,COMPRIMIDOS,COMPRIMIDOS RECUBIERTAS,limpio
E.F.43.713,ME43713,PASIM PLUS 10 mg - 500 mg COMPRIMIDOS RECUBIERTOS X 10 recubierta,PASIM PLUS 10 mg - 500 mg X 10 COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,COMPRIMIDOS RECUBIERTOS,limpio
E.F.34.116,ME34116,PAXIL CR 25 mg TABLETAS DE LIBERACION CONTROLADA X 30 tabletas,PAXIL CR 25 mg X 30 TABLETAS DE LIBERACION CONTROLADA,TABLETAS,TABLETAS DE LIBERACION CONTROLADA,limpio
E.F.39.670,ME39670/2,PEGYT 150 mg CAPSULAS X 20 capsulas,PEGYT 150 mg X 20 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.39.670,ME39670/3,PEGYT 150 mg CAPSULAS X 30 capsulas,PEGYT 150 mg X 30 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.43.568,ME43568,PEGYT 25 mg CAPSULAS X 30 capsulas,PEGYT 25 mg X 30 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.39.669,ME39669,PEGYT 75 mg CAPSULAS X 20 capsulas,PEGYT 75 mg X 20 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.G.38.517,HO38517,PENTOXIFILINA 300 mg / 15 mL SOLUCION PARA INFUSION X 5 solucion inyectable,PENTOXIFILINA 300 mg / 15 mL X 5 AMPOLLAS,INYECTABLE,SOLUCION PARA INFUSION,limpio
E.F.G.27.020,ME27020,PENTOXIFILINA 400 mg COMPRIMIDOS RECUBIERTOS DE ACCION PROLONGADA X 30 tabletas,PENTOXIFILINA 400 mg X 30 COMPRIMIDOS RECUBIERTOS DE ACCION PROLONGADA,COMPRIMIDOS,COMPRIMIDOS RECUBIERTOS DE ACCION PROLONGADA,limpio
E.F.41.064,ME41064,PERTEN 250 mg TABLETAS X 20 tabletas,PERTEN 250 mg X 20 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.42.325,ME42325,PIGRAL 75 mg COMPRIMIDOS RECUBIERTOS X 14 comprimidos,PIGRAL 75 mg X 14 COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,COMPRIMIDOS RECUBIERTOS,limpio
E.F.44.538,ME44538,PIMADOL 10 mg  TABLETAS RECUBIERTAS X 10 tabletas,PIMADOL 10 mg X 10 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.G.37.698,ME37698/2,PINAVERIUM BROMURO 100 mg TABLETAS RECUBIERTAS X 20 recubierta,PINAVERIUM BROMURO 100 mg X 20 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.G.37.698,ME37698/3,PINAVERIUM BROMURO 100 mg TABLETAS RECUBIERTAS X 30 recubierta,PINAVERIUM BROMURO 100 mg X 30 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.40.606,ME40606/3,PINAVIX 100 mg COMPRIMIDOS RECUBIERTOS X 30 recubierta,PINAVIX 100 mg X 30 COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,COMPRIMIDOS RECUBIERTOS,limpio
E.F.40.606,ME40606/2,PINAVIX 100 mg COMPRIMIDOS RECUBIERTOS X 20 recubierta,PINAVIX 100 mg X 20 COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,COMPRIMIDOS RECUBIERTOS,limpio
E.F.34.513,ME34513,BREINOX 400 mg TABLETAS X 30 tabletas,BREINOX 400 mg X 30 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.23.852,ME23852,PIROXICAM 20 mg CAPSULAS X 10 capsulas,PIROXICAM 20 mg X 10 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.30.588,ME30588,PLAVIX 75 mg COMPRIMIDOS RECUBIERTOS X 14 tabletas,PLAVIX 75 mg X 14 COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,COMPRIMIDOS RECUBIERTOS,limpio
E.F.31.051,ME31051,PLIDAN COMPUESTO 10 mg / 125 mg COMPRIMIDOS RECUBIERTOS X 10 comprimidos,PLIDAN COMPUESTO 10 mg / 125 mg X 10 COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,COMPRIMIDOS RECUBIERTOS,limpio
E.F.31.052,HO31052/2,PLIDAN COMPUESTO 15 mg / 2 mL - 100 mg / 2 mL SOLUCION INYECTABLE X 1 inyectable,PLIDAN COMPUESTO 15 mg / 2 mL - 100 mg / 2 mL X 1 AMPOLLAS,INYECTABLE,SOLUCION INYECTABLE,limpio
E.F.31.052,HO31052/3,PLIDAN COMPUESTO 15 mg / 2 mL - 100 mg / 2 mL SOLUCION INYECTABLE X 2 ampollas,PLIDAN COMPUESTO 15 mg / 2 mL - 100 mg / 2 mL X 2 AMPOLLAS,INYECTABLE,SOLUCION INYECTABLE,limpio
E.F.30.697,ME30697,"POSTINOR 2 0,75 mg COMPRIMIDOS X 2 comprimidos","POSTINOR 2 0,75 mg X 2 COMPRIMIDOS",COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.42.051,ME42051,POTAX 10 mEq TABLETAS DE LIBERACION PROLONGADA X 100 tabletas,POTAX 10 mEq X 100 TABLETAS DE LIBERACION PROLONGADA,TABLETAS,TABLETAS DE LIBERACION PROLONGADA,limpio
E.F.41.289,ME41289,PRALINA 75 mg CAPSULAS X 14 capsulas,PRALINA 75 mg X 14 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.15.805,ME15805/2,PRAXONA 150 mg COMPRIMIDOS X 10 tabletas,PRAXONA 150 mg X 10 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.15.805,ME15805/3,PRAXONA 150 mg COMPRIMIDOS X 24 tabletas,PRAXONA 150 mg X 24 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.43.039,ME43039/2,PREDNISOLONA 5 mg TABLETAS X 10 tabletas,PREDNISOLONA 5 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.43.039,ME43039/3,PREDNISOLONA 5 mg TABLETAS X 30 tabletas,PREDNISOLONA 5 mg X 30 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.42.866,ME42866/2,PREDNISOLONA 5 mg TABLETAS X 10 tabletas,PREDNISOLONA 5 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.42.866,ME42866/3,PREDNISOLONA 5 mg TABLETAS X 30 tabletas,PREDNISOLONA 5 mg X 30 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.27.150,ME27150,PREDNISONA 50 mg TABLETAS X 10 tabletas,PREDNISONA 50 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.34.836,ME34836,PREDNISONA 50 mg TABLETAS. X 10 tabletas,PREDNISONA 50 mg X 10 TABLETAS.,TABLETAS,TABLETAS.,limpio
E.F.G.12.419,ME12419/2,PREDNISONA 5 mg TABLETAS X 10 tabletas,PREDNISONA 5 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.12.419,ME12419/4,PREDNISONA 5 mg TABLETAS X 100 tabletas,PREDNISONA 5 mg X 100 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.12.419,ME12419/3,PREDNISONA 5 mg TABLETAS X 30 tabletas,PREDNISONA 5 mg X 30 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.32.934,ME32934,PREDNISONA 5 mg TABLETAS X 10 tabletas,PREDNISONA 5 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.42.570,ME42570/3,PREGABALINA 150 mg CAPSULAS X 30 capsulas,PREGABALINA 150 mg X 30 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.G.42.570,ME42570/2,PREGABALINA 150 mg CAPSULAS X 20 capsulas,PREGABALINA 150 mg X 20 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.44.579,ME44579/3,PREGALIS  75MG CAPSULAS X 30 capsulas,PREGALIS 75MG X 30 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.44.579,ME44579/2,PREGALIS  75MG CAPSULAS X 14 tabletas,PREGALIS 75MG X 14 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.41.141,ME41141,PRELIVAL 150 mg CAPSULAS X 20 capsulas,PRELIVAL 150 mg X 20 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.41.142,ME41142,PRELIVAL 75 mg CAPSULAS X 20 capsulas,PRELIVAL 75 mg X 20 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.G.39.191,ME39191,PROPRANOLOL 40mg TABLETAS X 20 comprimidos,PROPRANOLOL 40mg X 20 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.26.036,ME26036,PROPRANOLOL 10 mg TABLETAS X 20 tabletas,PROPRANOLOL 10 mg X 20 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.35.378,ME35378,PROXIME 750 mg COMPRIMIDOS RECUBIERTOS X 5 recubierta,PROXIME 750 mg X 5 COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,COMPRIMIDOS RECUBIERTOS,limpio
