proveedor,descripcion,codigo,codigo_aux,costo_usd,producto_id_bd,nombre_producto_bd,precio_final_usd,estado,motivo
drovencentro,PIPERACILINA TAZOBACTAM IV 4G/0.5G AMP VITALIS,7707236121549       ,"PHARMASTERIL, C.A.",15.02,,,,sin_match,sin_candidato
drovencentro,"PIPERACILINA/TAZOBAC 4G/0,5MG I.V SOL INY 1AMP OVEROL",8904187813731       ,"OVEROL INTERNACIONAL, C.A.",13.96,,,,sin_match,sin_candidato
drovencentro,PIPERAZINA 500MG/5ML JBE 120ML BIOQUIMICA,7594000850084       ,BIOQUIMICA INTERNACIONAL CA,3.31,,,,sin_match,sin_candidato
drovencentro,PIRA + GINKGO 500MG 60CAPS HERBAPLANT,7592710000799       ,LABORATORIOS HERBAPLANT C.A.,9.31,,,,sin_match,sin_candidato
drovencentro,PIRA + GINKO BILOBA 500MG  60CAPS WALIFE,7592710000249       ,"WALIFE NUTRITION, C.A.",8.5,,,,sin_match,sin_candidato
drovencentro,PIRIMED CHAMPU  120ML,7703332003550       ,"MEGALABS VZL, C.A.",16.5,,,,sin_match,sin_candidato
drovencentro,"PIROXICAM 0,5% GEL 30GR COASPHARMA",7703712033511       ,"QUALITYMED, C.A.",3.31,,,,sin_match,sin_candidato
drovencentro,PIROXICAM 20MG 10CAP COASPHARMA,7703712030930       ,"QUALITYMED, C.A.",3.26,,,,sin_match,sin_candidato
drovencentro,PIROXICAM 20MG 10CAPS PHARMETIQUE C,7592454172073       ,"MANUFACTURERA MUNDIAL FARMACEUTICA M.M.F., C.A.,",4,,,,sin_match,sin_candidato
drovencentro,PIRULIN BITE CHOCOLATE  200GR,7591675000455       ,"NUCITA VENEZOLANA NUCIVEN, C.A.",4.81,,,,sin_match,sin_candidato
drovencentro,PIRULIN CHOCOLATE ENVASE 300GR,7591675010508       ,"NUCITA VENEZOLANA NUCIVEN, C.A.",8.08,,,,sin_match,sin_candidato
drovencentro,PIRULIN LIMON ENVASE 155GR,7591675000448       ,"NUCITA VENEZOLANA NUCIVEN, C.A.",4.33,,,,sin_match,sin_candidato
drovencentro,"PLAN B  0,75MG  2TAB LEVONORGESTREL",7598852000642       ,"LABORATORIO  UNIPHARMA, C.A.",1.48,,,,sin_match,sin_candidato
drovencentro,PLAVIX 75MG 14COMP SANOFI,3582910007647       ,CALOX INTERNATIONAL C.A. (SANOFI),21.14,,,,sin_match,sin_candidato
drovencentro,PLEXAMIN JBE 120ML SIEGFRIED,7592601200413       ,LABORATORIOS SIEGFRIED S.A.,7.03,,,,sin_match,sin_candidato
drovencentro,PLIDAN COMPUESTO 10MG-125MG  20COMP REC,7591619001142       ,"MEGALABS VZL, C.A.",17.73,2806,PLIDAN COMPUESTO 10 mg / 125 mg COMPRIMIDOS RECUBIERTOS,29.55,matched,score=0.783
drovencentro,PLIDAN COMPUESTO 10MG-125MG 5COMP REC,7591619001135       ,"MEGALABS VZL, C.A.",6.03,2806,PLIDAN COMPUESTO 10 mg / 125 mg COMPRIMIDOS RECUBIERTOS,10.05,matched,score=0.730
drovencentro,PLIDAN COMPUESTO 2 AMP  2ML MEGALABS,7591619518367       ,"MEGALABS VZL, C.A.",5.77,581,PLIDAN COMPUESTO 15 mg / 2 mL - 100 mg / 2 mL SOLUCION INYECTABLE,9.62,matched,score=0.650
drovencentro,PLIDAN GOTAS   20ML KLINOS,7591619517940       ,"MEGALABS VZL, C.A.",6.37,,,,sin_match,sin_candidato
drovencentro,"POENBIOTIC 0,1MG/0,3% 5ML",7795368055153       ,"MEGALABS VZL, C.A.",6.92,,,,sin_match,sin_candidato
drovencentro,POENKERAT 0.5% 5ML SOL OFT,7795368001761       ,"MEGALABS VZL, C.A.",7.32,,,,sin_match,sin_candidato
drovencentro,POENTOBRAL GEL  5GR MEGALABS,7795368001846       ,"MEGALABS VZL, C.A.",8.06,,,,sin_match,sin_candidato
drovencentro,POENTOBRAL GOTAS OFTALMICAS 0.3% 5 ML,7795368001785       ,"MEGALABS VZL, C.A.",2.83,,,,sin_match,sin_candidato
drovencentro,POENTOBRAL PLUS GOTAS OF 5ML,7795368001792       ,"MEGALABS VZL, C.A.",3.38,,,,sin_match,sin_candidato
drovencentro,POLANTAC 10 TAB,7592348227025       ,"LABORATORIOS POLITECNICOS NACIONALES, C.A. (POLINAC, C.A.)",6.48,,,,sin_match,sin_candidato
drovencentro,POLI-OTICO GOTAS  5ML,7591955002278       ,"MEGALABS VZL, C.A.",4.65,,,,sin_match,sin_candidato
drovencentro,POLIAMIN 10% 500ML SOL INY BEHRENS,7592637001367       ,"LABORATORIO BEHRENS , C.A.",40.71,546,POLIAMIN 10 % (AMINOACIDOS CRISTALINOS) SOLUCION INYECTABLE INTRAVENOSA,67.85,matched,score=0.758
drovencentro,POLIFER FOL 1000 100MG/1000MCG  30TAB MASTIC HIERRO POLIMAL/AC FOLIC DISKAM,0793869810490       ,REPRESENTACIONES DISKAM  C.A,13.26,,,,sin_match,sin_candidato
drovencentro,POLIFIX  CREMA 40GR  POLINAC,7592348647113       ,"LABORATORIOS POLITECNICOS NACIONALES, C.A. (POLINAC, C.A.)",7.37,,,,sin_match,sin_candidato
drovencentro,POLIFIX POLVO 30GR POLINAC,7592348647526       ,"LABORATORIOS POLITECNICOS NACIONALES, C.A. (POLINAC, C.A.)",8.49,,,,sin_match,sin_candidato
drovencentro,POMADA CEROX 60G FARMAGENIK,112222002257        ,"LABORATORIO FARMAGENIK,C.A",3.46,,,,sin_match,sin_candidato
drovencentro,POMADA DE ARNICA 30GR  RECETTMARKET,7594001451341       ,"LABORATORIO RECETTEMARK, C.A.",3.96,,,,sin_match,sin_candidato
drovencentro,POMADA DE ARNICA 60GR RECETTMARKET,7594001451358       ,"LABORATORIO RECETTEMARK, C.A.",2.95,,,,sin_match,sin_candidato
drovencentro,POMADA DE AZAHARES  60GR RECETTMARKET,7594001451372       ,"LABORATORIO RECETTEMARK, C.A.",6.74,,,,sin_match,sin_candidato
drovencentro,POMADA DE AZUFRE 5% 30GR RECETTMARKET,7594001451402       ,"LABORATORIO RECETTEMARK, C.A.",2.55,,,,sin_match,sin_candidato
drovencentro,POSTINOR 2  0.75 MG COMP  VLAYBEL,7599423000016       ,"INVERSIONES VLAYBEL 1991, C.A.",12.3,,,,sin_match,sin_candidato
