id,sku,nombre_comercial,molecula,forma,laboratorio,fuente_inhrr_ef
"39086","ME42454","ATORVASTATINA 40 mg COMPRIMIDOS RECUBIERTOS","Atorvastatina","COMPRIMIDOS","LABORATORIOS SPEFAR VENEZOLANOS, S.A.","E.F.G.42.454"
"39090","ME28805","AZITROMICINA 500 mg COMPRIMIDOS RECUBIERTOS","Azitromicina","COMPRIMIDOS","LABORATORIOS LETI, S.A.V.","E.F.G.28.805"
"39091","MI19054","AZUTAN 0,15 % COLUTORIO","Bencidamina","","BIOTECH LABORATORIOS, C.A.","E.F.19.054"
"39092","ME20308","BACITRACINA 500 UI / g UNGUENTO","Bacitracina","UNGUENTO","MEGALABS VZL, C.A.","E.F.G.20.308"
"39093","ME19402","BALSADER POMADA","Alcanfor - Mentol - Salicilato Metilo","POMADA","LABORATORIOS KIMICEG, C.A.","E.F.19.402"
"39096","HO22899","BETAMETASONA 4 mg / mL X 1 AMPOLLAS","","INYECTABLE","LABORATORIOS VALMOR,C.A.","E.F.G.22.899"
"39097","HO32578","BICARBONATO DE SODIO AL 5 % X 1 AMPOLLAS","","INYECTABLE","LABORATORIO BEHRENS, C.A.","E.F.G.32.578"
"39098","ME41690","BIOCOR 20 mg X 30 TABLETAS RECUBIERTAS","Olmesartan Medoxomilo","TABLETAS","CALOX INTERNATIONAL, C.A.","E.F.41.690"
"39099","ME38313","OLMESARTAN MEDOXOMILO 40 mg X 30 TABLETAS RECUBIERTAS","","TABLETAS","CALOX INTERNATIONAL, C.A.","E.F.G.38.313"
"39100","ME44036","CARIBAN FORTE 20 mg - 20 mg X 20 COMPRIMIDOS RECUBIERTOS DE LIBERACION CONTROLADA","Doxilamina - Piridoxina","COMPRIMIDOS","LABORATORIOS LETI, S.A.V.","E.F.44.036"
"39101","ME44721","BIOTALOL PE 10 mg - 5 mg COMPRIMIDOS RECUBIERTOS","Bisoprolol - Perindopril","COMPRIMIDOS","LABORATORIOS LETI, S.A.V.","E.F.44.721"
"39103","ME44717","BIOTALOL PE 5 mg - 10 mg COMPRIMIDOS RECUBIERTOS ","Bisoprolol - Perindopril","COMPRIMIDOS","LABORATORIOS LETI, S.A.V.","E.F.44.717"
"39107","ME42420","BISOPROLOL FUMARATO 5 mg COMPRIMIDOS RECUBIERTOS","Bisoprolol","COMPRIMIDOS","LABORATORIOS SPEFAR VENEZOLANOS, S.A.","E.F.G.42.420"
"39108","ME42429","BISOPROLOL FUMARATO - HIDROCLOROTIAZIDA 10 mg - 6,25 mg COMPRIMIDOS RECUBIERTOS","Hidroclorotiazida","COMPRIMIDOS","LABORATORIOS SPEFAR VENEZOLANOS, S.A.","E.F.G.42.429"
"39110","ME42419","BISOPROLOL FUMARATO 2,5 mg COMPRIMIDOS RECUBIERTOS","Bisoprolol","COMPRIMIDOS","LABORATORIOS SPEFAR VENEZOLANOS, S.A.","E.F.G.42.419"
"39111","ME39034","BISOPROLOL FUMARATO - HIDROCLOROTIAZIDA 5 mg - 6,25 mg COMPRIMIDOS RECUBIERTOS","","COMPRIMIDOS","LABORATORIOS LETI, S.A.V.","E.F.G.39.034"
"39113","HO16263/3","BRAL 500 mg / mL X 100 AMPOLLAS","Dipirona","INYECTABLE","BIOTECH LABORATORIOS, C.A.","E.F.16.263"
"39114","HO16263/2","BRAL 500 mg / mL X 20 AMPOLLAS","Dipirona","INYECTABLE","BIOTECH LABORATORIOS, C.A.","E.F.16.263"
"39115","ME41912","BRASARTAN 80 mg X 30 CAPSULAS","Valsartan","CAPSULAS","LABORATORIOS FARMA S.A.","E.F.41.912"
"39116","ME42373","BRASARTAN CTDN 160 mg - 12,5 mg X 30 TABLETAS RECUBIERTAS","Clortalidona - Valsartan","TABLETAS","LABORATORIOS FARMA S.A.","E.F.42.373"
"39117","ME40193","BROLAT 5 mg - 30 mg / 5 mL X 10 SOLUCION ORAL","Ambroxol - Loratadina","SOLUCION ORAL","LABORATORIOS SIEGFRIED S.A.","E.F.40.193"
"39118","ME42603","BROMHEXINA CLORHIDRATO 4 mg / 5 mL JARABE","Bromhexina","JARABE","LABORATORIO QUIM-FAR, C.A.","E.F.G.42.603"
"39119","ME37021","CALCIO OSTELIN FORTE 300 mg - 200 UI / 5 mL X 30 SUSPENSION","Vitamina D3","SUSPENSION ORAL","LABORATORIOS FARMA, S.A.","E.F.37.021"
"39120","ME44634","CAMPAL P 15 mg / mL SUSPENSIÓN ORAL","Diclofenaco","SOLUCION ORAL","LABORATORIOS SIEGFRIED S.A.","E.F.44.634"
"39121","ME42750","CANDESARTAN CILEXETILO 8 mg COMPRIMIDOS","Candesartan","COMPRIMIDOS","LABORATORIOS SPEFAR VENEZOLANOS, S.A.","E.F.G.42.750"
"39122","ME28953/3","CAPTOPRIL 25 mg X 30 TABLETAS","Captopril","TABLETAS","LABORATORIOS KIMICEG, C.A.","E.F.G.28.953"
"39123","ME28953/2","CAPTOPRIL 25 mg X 20 TABLETAS","Captopril","TABLETAS","LABORATORIOS KIMICEG, C.A.","E.F.G.28.953"
"39124","ME36838","CARBAMAZEPINA 200 mg COMPRIMIDOS RECUBIERTOS DE LIBERACION CONTROLADA","Carbamazepina","COMPRIMIDOS","LABORATORIOS LETI, S.A.V.","E.F.G.36.838"
"39126","ME43806","CARBETAL 8 mg X 30 TABLETAS","Candesartan Cilexetilo","TABLETAS","LABORATORIO COFASA, S.A.","E.F.43.806"
"39127","ME43086","CARICEL 2 mg - 0,02 mg COMPRIMIDOS RECUBIERTOS","Etinilestradiol","COMPRIMIDOS","LABORATORIOS LETI, S.A.V.","E.F.43.086"
"39129","ME35571/3","CARVEDILOL 12,5 mg X 30 TABLETAS RECUBIERTAS","Carvedilol","TABLETAS","LABORATORIOS KIMICEG C.A.","E.F.G.35.571"
"39130","ME40369","CARVEDILOL 25 mg X 20 TABLETAS RECUBIERTAS","Carvedilol","TABLETAS","LABORATORIOS KIMICEG C.A.","E.F.G.40.369"
"39132","ME36892","CARVEDILOL 6,25 mg COMPRIMIDOS","Carvedilol","COMPRIMIDOS","LABORATORIOS SPEFAR VENEZOLANOS, S.A.","E.F.G.36.892"
"39133","ME43851","CETERIX 10 mg COMPRIMIDOS","Cetirizina","COMPRIMIDOS","MEGALABS VZL, C.A.","E.F.43.851"
"39134","ME36608","CETIRIZINA CLORHIDRATO 10 mg / mL SOLUCION ORAL GOTAS","Cetirizina","SOLUCION ORAL","LABORATORIOS SPEFAR VENEZOLANOS, S.A.","E.F.G.36.608"
"39135","ME31589","CETIRIZINA 1 mg / mL SOLUCION ORAL","Cetirizina","SOLUCION ORAL","LABORATORIOS LETI, S.A.V.","E.F.G.31.589"
"39136","HO33073","CLORHIDRATO DE MORFINA 10 mg / mL X 10 AMPOLLAS","","INYECTABLE","BIOTECH LABORATORIOS, C.A.","E.F.G.33.073"
"39137","ME32977","CETRAL 5 mg / 5 mL SOLUCION ORAL","Cetirizina","SOLUCION ORAL","LABORATORIOS SIEGFRIED S.A.","E.F.32.977"
"39141","ME30837","CIPROFLOXACINA 500 mg X 6 TABLETAS RECUBIERTAS","","TABLETAS","LABORATORIOS KIMICEG, C.A.","E.F.G.30.837"
"39142","ME32032","CIPROFLOXACINA 750 mg COMPRIMIDOS RECUBIERTOS","","COMPRIMIDOS","LABORATORIOS SPEFAR VENEZOLANOS , S.A.","E.F.G.32.032"
"39143","ME33398","CLARITROMICINA 500 mg COMPRIMIDOS RECUBIERTOS","Claritromicina","COMPRIMIDOS","LABORATORIOS SPEFAR VENEZOLANOS, S.A.","E.F.G.33.398"
"39144","ME42557","CLINDAMICINA 300 mg X 16 CAPSULAS","Clindamicina","CAPSULAS","LABORATORIOS SPEFAR VENEZOLANOS S.A.","E.F.G.42.557"
"39145","HO36380","CLINDOX - D 12 mg / mL SOLUCION INYECTABLE PARA INFUSION INTRAVENOSA","Clindamicina","INYECTABLE","LABORATORIO BEHRENS, C.A.","E.F.36.380"
"39146","ME34986","GYNO CLOCIM 1% CREMA VAGINAL","Clotrimazol","CREMA","LABORATORIOS KIMICEG, C.A.","E.F.34.986"
"39147","ME36885","CLOPIDOGREL 75 mg COMPRIMIDOS RECUBIERTOS","Clopidogrel","COMPRIMIDOS","LABORATORIOS SPEFAR VENEZOLANOS, S.A.","E.F.G.36.885"
"39148","ME44238/2","CLORACE 500 mg – 4 mg X 10 GRANULOS PARA SOLUCIÓN ORAL SABOR A LIMÓN","Acetaminofen - Clorfenamina","SOLUCION ORAL","LABORATORIO COFASA, S.A.","E.F.44.238"
"39149","ME44238/3","CLORACE 500 mg – 4 mg X 20 GRANULOS PARA SOLUCIÓN ORAL SABOR A LIMÓN","Acetaminofen - Clorfenamina","SOLUCION ORAL","LABORATORIO COFASA, S.A.","E.F.44.238"
"39150","HO32581","CLORURO DE POTASIO 7,5 % SOLUCION HIPERTONICA X 1 AMPOLLAS","","INYECTABLE","LABORATORIO BEHRENS, C.A.","E.F.G.32.581"
"39151","HO32515","CLORURO DE SODIO AL 20 % SOLUCION HIPERTONICA INYECTABLE","","INYECTABLE","LABORATORIO BEHRENS, C.A.","E.F.G.32.515"
"39152","ME34772","CLOTRIMAZOL 1 % CREMA VAGINAL","Clotrimazol","CREMA","LABORATORIOS KIMICEG, C.A.","E.F.G.34.772"
"39153","ME26813","CLOTRIMAZOL 1 % CREMA","Clotrimazol","CREMA","LABORATORIOS LETI, S.A.V.","E.F.G.26.813"
"39154","ME44093","COFASUR 160 mg X 30 TABLETAS RECUBIERTAS","Valsartan","TABLETAS","LABORATORIO COFASA, S.A.","E.F.44.093"
"39155","ME44636","COFASUR PLUS 80 mg - 12,5 mg X 30 TABLETAS RECUBIERTAS","Clortalidona - Valsartan","TABLETAS","LABORATORIO COFASA, S.A.","E.F.44.636"
"39156","HO23451","COLVAL 4 mg / 2 mL X 2 AMPOLLAS","Tiocolchicosido","INYECTABLE","LABORATORIOS VALMOR,C.A.","E.F.23.451"
"39157","HO1278","TIMOGLOBULINA (INMUNOGLOBULINA DE CONEJO ANTITIMOCITOS HUMANOS) 5 mg / mL X 3 AMPOLLAS","Inmunoglobulina Conejo Antitimocitos Humanos","INYECTABLE","CALOX INTERNATIONAL, C.A.","P.B.1.278"
"39158","ME1412","COMPLEJO DE VITAMINA B X 20 TABLETAS","","TABLETAS","LABORATORIOS SPEFAR VENEZOLANOS, S.A. ","P.F.1.412"
"39159","ME34030","TERAGRIPFORTE DIA 650 mg - 30 mg X 20 TABLETAS RECUBIERTAS","Acetaminofen - Paracetamol - Pseudoefedrina","TABLETAS","LABORATORIOS FARMA S.A.","E.F.34.030"
