proveedor,descripcion,codigo,codigo_aux,costo_usd,producto_id_bd,nombre_producto_bd,precio_final_usd,estado,motivo
cobeca,IBUPROFENO/TIOCOL TAB 400/4MG X10 CLX,94963,7591519008586,5.19,4449,IBUPROFENO - TIOCOLCHICOSIDO 400 mg - 4 mg TABLETAS RECUBIERTAS,8.65,matched,score=0.878
cobeca,IBUPROFENO/TIOCOL TAB 400/4MG X14CR LATT,26616,0756029628281,4.55,4449,IBUPROFENO - TIOCOLCHICOSIDO 400 mg - 4 mg TABLETAS RECUBIERTAS,7.58,matched,score=0.835
cobeca,IBUPROFENO/TIOCOL TAB 600/4MG X10 CR DAC,23146,7598578000247,3.88,4449,IBUPROFENO - TIOCOLCHICOSIDO 400 mg - 4 mg TABLETAS RECUBIERTAS,6.47,matched,score=0.835
cobeca,IBUTAN SUSP 100MG/5ML 60ML MEY,8970,7592601200192,3.97,2305,IBUTAN 100 mg / 5 mL SUSPENSION,6.62,matched,score=0.653
cobeca,IBUTAN SUSP 200MG/5ML 60ML MEY,94585,7592601201205,4.82,4573,IBUTAN 200 mg / 5 mL SUSPENSION,8.03,matched,score=0.653
cobeca,IBUTAN TAB 200MG X10 MEY,4835,7592601200215,1.58,5568,IBUTAN 200 mg TABLETAS,2.63,matched,score=0.696
cobeca,IBUTAN TAB 400MG X10 MEY,8969,7592601200208,2.75,1877,IBUTAN 400 mg TABLETAS,4.58,matched,score=0.696
cobeca,IBUTAN TAB 400MG X20 MEY,92332,7592601201182,5.1,1877,IBUTAN 400 mg TABLETAS,8.5,matched,score=0.696
cobeca,IBUTAN TAB 600MG X10 MEY,127,7592601200536,3.52,4616,IBUTAN 600 mg TABLETAS,5.87,matched,score=0.696
cobeca,IBUTANCOL TAB 400MG/4MG X10 MEY,14204,7592601301783,4.95,4985,IBUTANCOL 400 mg - 4 mg TABLETAS,8.25,matched,score=0.648
cobeca,IBUTANCOL TAB 400MG/4MG X20 MEY,14205,7592601301790,8.91,4985,IBUTANCOL 400 mg - 4 mg TABLETAS,14.85,matched,score=0.648
cobeca,IBUTANCOL TAB 600MG/4MG X10 MEY,95589,7592601001188,6.14,4673,IBUTANCOL 600 mg - 4 mg TABLETAS,10.23,matched,score=0.648
cobeca,IBUTANCOL TAB 600MG/4MG X20 MEY,95590,7592601001195,12.34,4673,IBUTANCOL 600 mg - 4 mg TABLETAS,20.57,matched,score=0.648
cobeca,IBUTANFEM TAB 400MG/20MG X20 MEY,25251,7592601000105,15.13,5460,IBUTANFEM 400 mg - 20 mg TABLETAS RECUBIERTAS,25.22,matched,score=0.687
cobeca,IBUTANFEM TAB 400MG/20MG X30 MEY,25252,7592601000112,22.08,5460,IBUTANFEM 400 mg - 20 mg TABLETAS RECUBIERTAS,36.8,matched,score=0.687
cobeca,IBUTANFEM TAB REC 400/20MG X10 MEY,24737,7592601303121,8.66,,,,sin_match,score_bajo
cobeca,IBUTANMIGRA TAB 400MG/40MG X10 MEY,13472,7592601301622,5.34,,,,sin_match,score_bajo
cobeca,IBUTANMIGRA TAB 400MG/40MG X20 MEY,13473,7592601301653,10.48,,,,sin_match,score_bajo
cobeca,IBUTIL FORTE COM/REC 600MG/8MG X 10,29385,7592806134018,9.3,,,,sin_match,score_bajo
