producto_id,sku,nombre_comercial,molecula,forma,laboratorio,costo_usd,precio_usd,score,nombre_farmanselmo,precio_bs,imagen,farmanselmo_id,categoria_slug
39210,ME44388/3,FARMAD 200UI/gota X 30 SOLUCION ORAL,Vitamina D3,GOTAS,LABORATORIOS FARMA S.A.,3.97,6.62,0.622,FARMA D VITAMINA D3 GOTAS 200 UI x10 ML FARMA (E),"Bs. 7.101,55",https://pccentro.net.ve/img/s/7/2/5/5/9/72559-large_default.webp,725458,vitaminas-y-fitness/suplementos-nutricionales
37734,ME33334/2,VITAMINA C 500 mg X 15 TABLETAS MASTICABLES SABOR A PIÑA,,TABLETAS,"CALOX INTERNATIONAL, C.A.",4.96,8.27,0.620,VITAMINA C 500 MG CHICLE TIRA X10 TAB/MAST LA SANTE (E),"Bs. 838,97",https://pccentro.net.ve/img/p/1/8/6/6/2/2/186622-large_default.webp,748854,farmacia-1/tracto-alimentario-y-metabolis
38431,ME23582,"MATILOL 0,5 % SOLUCION OFTALMICA",Timolol,SOLUCION OFTALMICA,"LABORATORIOS L.O. OFTALMI, C.A.",11.96,19.93,0.617,MATILOL TIMOLOL 0.50% GOTAS OFTALMICAS x6ML OFTALMI (E),"Bs. 9.932,08",https://pccentro.net.ve/img/s/9/2/5/4/5/92545-large_default.webp,473096,farmacia-1/organos-de-los-sentidos
39127,ME43086,"CARICEL 2 mg - 0,02 mg COMPRIMIDOS RECUBIERTOS",Etinilestradiol,COMPRIMIDOS,"LABORATORIOS LETI, S.A.V.",19.52,32.53,0.610,DANIELE COMPRIMIDO REC 2MG/0.035MG X 21 CCM (E),"Bs. 12.389,57",https://pccentro.net.ve/img/s/2/4/5/3/2/24532-large_default.webp,528351,farmacia-1/sistema-genitourinario-y-hormo
39016,ME42715,ACICLOR NANOPHARM 5 % CREMA,Aciclovir,CREMA,"LABORATORIOS LETI, S.A.V.",10.45,17.42,0.610,ACICLOVIR 5% CREMA x5GR KMPLUS (E),"Bs. 1.152,52",https://pccentro.net.ve/img/s/3/5/9/5/9/35959-large_default.webp,266376,cuidado-personal/cuidado-de-las-manos-y-pies
39511,ME32076,"SYMBICORT TURBUHALER 160 mcg - 4,5 mcg / DOSIS X 60 POLVO INHALACION ORAL",Budesonida - Formoterol,POLVO PARA RECONSTITUCION,ASTRAZENECA A.B,67.39,112.32,0.609,FULBARYL POLVO PARA INHALACIÓN EN CÁPSULAS 160MCG/4.5MCG (E),"Bs. 18.448,85",https://pccentro.net.ve/img/s/3/3/7/8/3/33783-large_default.webp,476294,farmacia-1/sistema-respiratorio
39418,ME32679,"ACRYLARM 0,2 % GEL OFTALMICO",,GEL,LABORATORIOS POEN S.A.U.,27.4,45.67,0.607,ACRYLARM ACIDO POLIACRILICO GEL 0.2% x10 GR POEN MEGALABS (E),"Bs. 12.245,59",https://pccentro.net.ve/img/s/7/5/5/4/6/75546-large_default.webp,473105,farmacia-1/organos-de-los-sentidos
38521,ME40502,MUCOMAX 15 mg / 5 mL SOLUCION ORAL USO PEDIATRICO,Ambroxol,SOLUCION ORAL,"LABORATORIOS KIMICEG, C.A.",3.01,5.02,0.606,MUCOMAX PLUS JARABE (E),"Bs. 2.957,57",https://pccentro.net.ve/img/s/2/5/5/2/0/25520-large_default.webp,529836,farmacia-1/sistema-respiratorio
39576,ME42256,"FLUDINAX 0,9 % SOLUCION NASAL",,SOLUCION NASAL,"LABORATORIO BEHRENS, C.A.",6.9,11.50,0.602,SINUS RINSE ADULT POLVO SOL NASAL (E),"Bs. 13.076,08",https://pccentro.net.ve/img/s/6/5/2/5/5/65255-large_default.webp,706946,farmacia-1/sistema-respiratorio
39542,ME43601,MINOXIDIL FORTE 5% SOLUCION TOPICA,Minoxidil,SOLUCION TOPICA,"LABORATORIO LA SANTE, C.A.",12.96,21.60,0.601,ARNICA FC FORTE GEL CORPORAL AMARILLO TARRO PARA MASAJES CON ESTRATO DE HOJA DE MANGO x250GR FC PHAR,"Bs. 2.847,40",https://pccentro.net.ve/img/s/8/0/4/3/6/80436-large_default.webp,475321,farmacia-1/sistema-musculoesqueletico
