id_a,nombre_a,id_b,nombre_b,score,motivo,atc_a,atc_b,canon_a,canon_b
3655,Vinorelbina,3656,Vinorelbina Tartrato,1,canonico_igual,L01CA04,L01CA04,vinorelbina,vinorelbina
3724,Vitamina A,3736,Vitamina E,1,canonico_igual,V04CB01,,vitamina,vitamina
3747,Volanesorsen,3748,Volanesorsen Sodio,1,canonico_igual,C10AX18,C10AX18,volanesorsen,volanesorsen
3753,Vortioxetina,3754,Vortioxetina Hidrobromuro,1,canonico_igual,N06AX26,N06AX26,vortioxetina,vortioxetina
3753,Vortioxetina,3755,Vortioxetina Lactato,1,canonico_igual,N06AX26,N06AX26,vortioxetina,vortioxetina
3754,Vortioxetina Hidrobromuro,3755,Vortioxetina Lactato,1,canonico_igual,N06AX26,N06AX26,vortioxetina,vortioxetina
3759,Warfarina,3760,Warfarina Sodica,1,canonico_igual,B01AA03,B01AA03,warfarina,warfarina
3763,Xilometazolina,3764,Xilometazolina Hidrocloruro,1,canonico_igual,R01AA07,R01AA07,xilometazolina,xilometazolina
3769,Ytrio Y-90 Citrato,4008,Ytrio Y-90 Cloruro,1,canonico_igual,,,90 ytrio,90 ytrio
3769,Ytrio Y-90 Citrato,4204,Ytrio Y-90,1,canonico_igual,,,90 ytrio,90 ytrio
4008,Ytrio Y-90 Cloruro,4204,Ytrio Y-90,1,canonico_igual,,,90 ytrio,90 ytrio
3777,Zinc Acetato,3778,Zinc Acetato Dihidrato,1,canonico_igual,,,zinc,zinc
3777,Zinc Acetato,4009,Zinc,1,canonico_igual,,A02BX91,zinc,zinc
3777,Zinc Acetato,4010,Zinc Cloruro,1,canonico_igual,,,zinc,zinc
3778,Zinc Acetato Dihidrato,4009,Zinc,1,canonico_igual,,A02BX91,zinc,zinc
3778,Zinc Acetato Dihidrato,4010,Zinc Cloruro,1,canonico_igual,,,zinc,zinc
4009,Zinc,4010,Zinc Cloruro,1,canonico_igual,A02BX91,,zinc,zinc
3784,Ziprasidona,3785,Ziprasidona Hidrocloruro,1,canonico_igual,N05AE04,N05AE04,ziprasidona,ziprasidona
3784,Ziprasidona,3787,Ziprasidona Mesilato,1,canonico_igual,N05AE04,N05AE04,ziprasidona,ziprasidona
3784,Ziprasidona,3788,Ziprasidona Monohidrato,1,canonico_igual,N05AE04,N05AE04,ziprasidona,ziprasidona
3785,Ziprasidona Hidrocloruro,3787,Ziprasidona Mesilato,1,canonico_igual,N05AE04,N05AE04,ziprasidona,ziprasidona
3785,Ziprasidona Hidrocloruro,3788,Ziprasidona Monohidrato,1,canonico_igual,N05AE04,N05AE04,ziprasidona,ziprasidona
3787,Ziprasidona Mesilato,3788,Ziprasidona Monohidrato,1,canonico_igual,N05AE04,N05AE04,ziprasidona,ziprasidona
3789,Zofenopril Calcico,4155,Zofenopril,1,canonico_igual,C09AA15,C09AA15,zofenopril,zofenopril
3793,Zolpidem Tartrato,4073,Zolpidem,1,canonico_igual,N05CF02,N05CF02,zolpidem,zolpidem
3796,Zuclopentixol Acetato,4012,Zuclopentixol,1,canonico_igual,N05AF02,N05AF05,zuclopentixol,zuclopentixol
3828,Biperideno,3829,Biperideno Hidrocloruro,1,canonico_igual,N04AA02,N04AA02,biperideno,biperideno
3845,Bupropion,3846,Bupropion Hidrocloruro,1,canonico_igual,N07BA02,N02AA02,bupropion,bupropion
3852,Cetilpiridinio Bromuro,3925,Cetilpiridinio,1,canonico_igual,,D08AJ91,cetilpiridinio,cetilpiridinio
3852,Cetilpiridinio Bromuro,3926,Cetilpiridinio Cloruro,1,canonico_igual,,B05CA01,cetilpiridinio,cetilpiridinio
3925,Cetilpiridinio,3926,Cetilpiridinio Cloruro,1,canonico_igual,D08AJ91,B05CA01,cetilpiridinio,cetilpiridinio
3862,Edrofonio Bromuro,4029,Edrofonio,1,canonico_igual,N07AA91,N07AA91,edrofonio,edrofonio
3865,Erlotinib,3866,Erlotinib Hidrocloruro,1,canonico_igual,L01EB02,L01EB02,erlotinib,erlotinib
3875,Glicopirronio Bromuro,3959,Glicopirronio,1,canonico_igual,R03BB06,D11AA01,glicopirronio,glicopirronio
3885,Nebivolol,3886,Nebivolol Hidrocloruro,1,canonico_igual,C07AB12,C07AB12,nebivolol,nebivolol
3890,Otilonio Bromuro,4186,Otilonio,1,canonico_igual,A03AB06,A03AB06,otilonio,otilonio
3900,Rocuronio Bromuro,3991,Rocuronio,1,canonico_igual,M03AC09,M03AC09,rocuronio,rocuronio
3907,Sunitinib,3908,Sunitinib Hidrocloruro,1,canonico_igual,L01EX01,L01EX01,sunitinib,sunitinib
3912,Umeclidinio Bromuro,4007,Umeclidinio,1,canonico_igual,R03BB07,R03AL03,umeclidinio,umeclidinio
3920,Cefminox,3921,Cefminox Sodico,1,canonico_igual,J01DC12,J01DC12,cefminox,cefminox
3922,Cefonicid,3923,Cefonicid Sodico,1,canonico_igual,J01DC06,,cefonicid,cefonicid
3942,Colestipol,3943,Colestipol Hidrocloruro,1,canonico_igual,C10AC02,C10AC02,colestipol,colestipol
3949,Epoprostenol Sodico,4075,Epoprostenol,1,canonico_igual,B01AC09,B01AC09,epoprostenol,epoprostenol
3950,Esmolol Hidrocloruro,4077,Esmolol,1,canonico_igual,C07AB09,C07AB09,esmolol,esmolol
3951,Estroncio,3952,Estroncio Cloruro,1,canonico_igual,M05BX03,,estroncio,estroncio
3953,Fingolimod Hidrocloruro,4034,Fingolimod,1,canonico_igual,L04AA27,L04AA27,fingolimod,fingolimod
3955,Fosinopril Sodico,4160,Fosinopril,1,canonico_igual,C09AA09,C09AA09,fosinopril,fosinopril
3967,Indio 111 Cloruro,4037,Indio 111,1,canonico_igual,,V09IB01,111 indio,111 indio
3974,Metiltioninio Cloruro,4113,Metiltioninio,1,canonico_igual,V04CG05,V03AB17,metiltioninio,metiltioninio
3975,Nedocromilo,3976,Nedocromilo Sodico,1,canonico_igual,R01AC07,R01AC07,nedocromilo,nedocromilo
3992,Ropinirol Hidrocloruro,4193,Ropinirol,1,canonico_igual,N04BC04,N04BC04,ropinirol,ropinirol
4004,Treprostinilo Sodico,4152,Treprostinilo,1,canonico_igual,B01AC21,B01AC21,treprostinilo,treprostinilo
4005,Trihexifenidil Hidrocloruro,4069,Trihexifenidil,1,canonico_igual,,N04AA01,trihexifenidil,trihexifenidil
4006,Trospio Cloruro,4199,Trospio,1,canonico_igual,A03DA06,A03DA06,trospio,trospio
4030,Eplontersen Sodio,4074,Eplontersen,1,canonico_igual,N07XX21,N07XX21,eplontersen,eplontersen
4038,Inotersen Sodio,4095,Inotersen,1,canonico_igual,N07XX15,N07XX15,inotersen,inotersen
4050,Pemetrexed,4051,Pemetrexed Disodio,1,canonico_igual,L01BA04,L01BA04,pemetrexed,pemetrexed
20,Aceite De Soja  Aceite De Oliva,26,Aceite Oliva,0.8,mismo_generico_en,A06AG06,A06AG06,aceite aceite oliva soja,aceite oliva
20,Aceite De Soja  Aceite De Oliva,29,Aceite Semilla Soja,0.821,mismo_generico_en,A06AG06,A06AG06,aceite aceite oliva soja,aceite semilla soja
20,Aceite De Soja  Aceite De Oliva,30,Aceite Soja Purificado,0.8,mismo_generico_en,A06AG06,A06AG06,aceite aceite oliva soja,aceite purificado soja
20,Aceite De Soja  Aceite De Oliva,2574,"Oliva, Aceite De, Refinado",0.8,mismo_generico_en,A06AG06,A06AG06,aceite aceite oliva soja,aceite oliva refinado
20,Aceite De Soja  Aceite De Oliva,3207,"Soja, Aceite De, Refinado",0.813,mismo_generico_en,A06AG06,A06AG06,aceite aceite oliva soja,aceite refinado soja
29,Aceite Semilla Soja,30,Aceite Soja Purificado,0.762,mismo_generico_en,A06AG06,A06AG06,aceite semilla soja,aceite purificado soja
29,Aceite Semilla Soja,3207,"Soja, Aceite De, Refinado",0.762,mismo_generico_en,A06AG06,A06AG06,aceite semilla soja,aceite refinado soja
30,Aceite Soja Purificado,3207,"Soja, Aceite De, Refinado",0.867,mismo_generico_en,A06AG06,A06AG06,aceite purificado soja,aceite refinado soja
2574,"Oliva, Aceite De, Refinado",3207,"Soja, Aceite De, Refinado",0.75,mismo_generico_en,A06AG06,A06AG06,aceite oliva refinado,aceite refinado soja
24,Aceite Lavandula Angustifolia Mill,2023,Lavandula Angustifolia Mill.,0.792,mismo_generico_en,A06AG06,,aceite angustifolia lavandula mill,angustifolia lavandula mill
1302,Esencia Rosmarinus Officinalis,3059,Rosmarinus Officinalis,0.758,mismo_generico_en,,,esencia officinalis rosmarinus,officinalis rosmarinus
2850,Potasio Dihidrogenofosfato,2852,Potasio Hidrogenofosfato,0.889,mismo_generico_en,,,dihidrogenofosfato,hidrogenofosfato
3781,Zinc Piritiona,3782,Zinc Piritionato,0.909,mismo_generico_en,,,piritiona zinc,piritionato zinc
67,Acidos Omega 3,3511,Trigliceridos Omega-3,0.795,mismo_generico_en,,C10AX06,3 acidos omega,3 omega trigliceridos
86,Aescina,1281,Escina,0.857,mismo_generico_en,C05CA94,C05CA94,aescina,escina
116,Alcohol Etilico,754,Cinamilico Alcohol,0.75,mismo_generico_en,,,alcohol etilico,alcohol cinamilico
754,Cinamilico Alcohol,1354,Etilico Alcohol,0.75,mismo_generico_en,,,alcohol cinamilico,alcohol etilico
2760,Picosulfato Sodio,3415,Tiosulfato Sodio,0.818,mismo_generico_en,,V03AB06,picosulfato,tiosulfato
3197,Sodio Dihidrogenofosfato,3200,Sodio Hidrogenofosfato,0.889,mismo_generico_en,,,dihidrogenofosfato,hidrogenofosfato
2756,P-hidroxibenzoato De Metilo,2858,P-oxibenzoato De Metilo,0.911,mismo_generico_en,,,hidroxibenzoato metilo p,metilo oxibenzoato p
2315,Metoxaleno,2318,Metoxisaleno,0.833,mismo_generico_en,,,metoxaleno,metoxisaleno
252,Antigeno Oligosacarido Meningococo Grupo A,258,Antigeno Polisacarido Meningococo Grupo A,0.942,mismo_generico_en,,,antigeno grupo meningococo oligosacarido,antigeno grupo meningococo polisacarido
253,Antigeno Oligosacarido Meningococo Grupo C,259,Antigeno Polisacarido Meningococo Grupo C,0.954,mismo_generico_en,,,antigeno c grupo meningococo oligosacarido,antigeno c grupo meningococo polisacarido
255,Antigeno Oligosacarido Meningococo Grupo Y,257,Antigeno Polisacarido Meningococo Gr Y,0.792,mismo_generico_en,,,antigeno grupo meningococo oligosacarido,antigeno gr meningococo polisacarido
313,Asparagina,315,Asparaginasa,0.833,mismo_generico_en,L01XX02,L01XX02,asparagina,asparaginasa
428,Bendrofluazida,429,Bendroflumetiazida,0.778,mismo_generico_en,,C03AA01,bendrofluazida,bendroflumetiazida
429,Bendroflumetiazida,440,Benzhidroflumetiazida,0.857,mismo_generico_en,C03AA01,C03AA02,bendroflumetiazida,benzhidroflumetiazida
438,Benzbromarona,442,Benzobromarona,0.929,mismo_generico_en,M04AB03,,benzbromarona,benzobromarona
528,Bromfeniramina,534,Bromofeniramina,0.933,mismo_generico_en,R06AB01,R06AB05,bromfeniramina,bromofeniramina
529,Bromfeniramina Maleato,534,Bromofeniramina,0.933,mismo_generico_en,R06AB01,R06AB05,bromfeniramina,bromofeniramina
1927,Isopropil Alcohol,1930,Isopropilico Alcohol,0.875,mismo_generico_en,,,alcohol isopropil,alcohol isopropilico
1365,Eucalipto,1366,Eucaliptol,0.9,mismo_generico_en,,,eucalipto,eucaliptol
721,Chelidonia Majus,722,Chelidonium Majus,0.909,mismo_generico_en,,,chelidonia majus,chelidonium majus
755,Cinarizina,762,Cinnarizina,0.909,mismo_generico_en,N07CA02,,cinarizina,cinnarizina
845,Clorfenamina,847,Clorfeniramina,0.857,mismo_generico_en,R06AB04,D04AA91,clorfenamina,clorfeniramina
846,Clorfenamina Maleato,847,Clorfeniramina,0.857,mismo_generico_en,R06AB04,D04AA91,clorfenamina,clorfeniramina
857,Clorobutanol,3854,Clorobutol,0.833,mismo_generico_en,A04AD04,,clorobutanol,clorobutol
864,Clorotetraciclina,870,Clortetraciclina,0.941,mismo_generico_en,S02AA08,A01AB21,clorotetraciclina,clortetraciclina
864,Clorotetraciclina,871,Clortetraciclina Hidrocloruro,0.941,mismo_generico_en,S02AA08,S02AA08,clorotetraciclina,clortetraciclina
955,Dalfampridina,1399,Fampridina,0.769,mismo_generico_en,N07XX07,N07XX07,dalfampridina,fampridina
1041,Dexanfetamina,1052,Dextroamfetamina,0.75,mismo_generico_en,N06BA02,,dexanfetamina,dextroamfetamina
1042,Dexanfetamina Sulfato,1052,Dextroamfetamina,0.75,mismo_generico_en,N06BA01,,dexanfetamina,dextroamfetamina
1070,Diciclomina,1071,Dicicloverina,0.769,mismo_generico_en,,A03AA07,diciclomina,dicicloverina
1070,Diciclomina,1072,Dicicloverina Hidrocloruro,0.769,mismo_generico_en,,A03AA07,diciclomina,dicicloverina
1107,Dihidroquinidina,1752,Hidroquinidina,0.875,mismo_generico_en,C01BA01,C01BA13,dihidroquinidina,hidroquinidina
1107,Dihidroquinidina,1753,Hidroquinidina Hidrocloruro,0.875,mismo_generico_en,C01BA01,C01BA01,dihidroquinidina,hidroquinidina
1187,Echinacea Purpurea Tintura Madre,1189,Echinacea Purpurea Tintura Raiz,0.813,mismo_generico_en,B05BC02,B05BC02,echinacea madre purpurea tintura,echinacea purpurea raiz tintura
1256,Eptacog Alfa Activado,1257,Eptacog Beta Activado,0.75,mismo_generico_en,,,activado alfa eptacog,activado beta eptacog
1290,Esencia Cedro,3491,Trementina Cedro,0.75,mismo_generico_en,,,cedro esencia,cedro trementina
1295,Esencia Hierba Luisa,1778,Hierba Luisa,0.762,mismo_generico_en,,,esencia hierba luisa,hierba luisa
1848,"Indio (i111), Oxinato De",1849,"Indio (i111), Pentetato De",0.81,mismo_generico_en,,,i111 indio oxinato,i111 indio pentetato
1472,Fludrocortisona,1484,Fluorhidrocortisona,0.789,mismo_generico_en,H02AA02,H02AB09,fludrocortisona,fluorhidrocortisona
1557,Frusemida,1564,Furosemida,0.8,mismo_generico_en,,C03CA01,frusemida,furosemida
1557,Frusemida,1566,Fursemida,0.778,mismo_generico_en,,,frusemida,fursemida
1564,Furosemida,1566,Fursemida,0.9,mismo_generico_en,C03CA01,,furosemida,fursemida
1779,Hierro Carboximaltosa,2831,Polimaltosa Hierro,0.821,mismo_generico_en,B03AC92,,carboximaltosa hierro,hierro polimaltosa
1782,Hierro Sacarosa,3092,Sacarato Hierro,0.813,mismo_generico_en,B03AC93,,hierro sacarosa,hierro sacarato
1783,Hierro Sulfato Desecado,1785,Hierro-dextrano,0.75,mismo_generico_en,,B05AA05,desecado hierro,dextrano hierro
1581,Gadoterico Acido,1582,Gadoteridol,0.818,mismo_generico_en,,V08CA04,gadoterico,gadoteridol
1989,L-alanil-l-glutamina,2080,L-glutamina,0.833,mismo_generico_en,,B05XB02,alanil glutamina l l,glutamina l
1679,Gonadotrofina Menopausica Humana,1681,Gonadotropina Corionica Humana,0.762,mismo_generico_en,,,gonadotrofina humana menopausica,corionica gonadotropina humana
1679,Gonadotrofina Menopausica Humana,1799,Hormona Gonadotrofina Menopausica Humana,0.75,mismo_generico_en,,,gonadotrofina humana menopausica,gonadotrofina hormona humana menopausica
1702,Haemophilus Influenzae,1718,Hemophilus Influenzae,0.955,mismo_generico_en,J07AG52,J07AG53,haemophilus influenzae,hemophilus influenzae
