descripcion,costo_usd,ef,pa_drovencentro,score
DISCRALFAT SUSP 1G/5ML 150ML CR DIST,18.45,E.F.26.303,SUCRALFATO 1GR   20TAB,0.837
DISDERM CREM 20G X 1,3.45,E.F.G.36.125,CLOTRIMAZOL NEOMICINA DEXAMETASONA,0.843
"DISFENAC GEL 1,16% 50G CR DIST",6.74,E.F.G.37.540,DICLOFENAC DIETILAMINA  50GR,0.856
DISLEPTAL SUSP 300MG/5ML 100ML CR DIST,13.40,E.F.G.43.862,OXCARBAZEPINA 300MG  30TAB,0.796
DISLEPTAL TAB 300MG X30 CR DIST,9.45,E.F.G.43.862,OXCARBAZEPINA 300MG  30TAB,0.806
DISMEXINA JBE 8MG/5ML X 120ML,5.16,E.F.G.26.069,BROMEXINA CLORHIDRATO,0.851
"DISMOVAT CREM 0,05% 50G CR DIST",6.99,E.F.G.44.198,CLOBETASOL PROPIONATO,0.873
DISPROZIN SOL ORAL 6MG/ML 120ML CR DIST,4.62,E.F.G.43.831,LEVODROPROPIZINA 6ML,0.860
DISVENAL ANTIVARICOSO CAP 500MG X30 DIST,15.53,E.F.24.286,DOBESILATO DE CALCIO 500MG  30CAPS,0.805
DITOSXIL SUSP 100MG/5ML 120ML CR DIST,6.13,E.F.44.628,CARBOXIMETILCISTEINA 100MG,0.812
DIXTORFAN SOL/ORAL 3MG/5ML X 120ML,3.47,E.F.44.089,DEXTROMETORFANO CLORFENIRAMINA,0.797
DOLAK SL COMP 30MG X4 DLR,4.26,E.F.38.932,KETOROLAC TROMETAMINA,0.823
DOLAK SOL INY 30MG/ML X1 DLR,4.98,E.F.38.932,KETOROLAC TROMETAMINA,0.827
DOLAK SOL INY 30MG/ML X2 DLR,9.01,E.F.38.932,KETOROLAC TROMETAMINA,0.827
DOLGENAL COMP SL 30MG X8 ADIUM,9.76,E.F.G.42.668,KETOROLACO 30MG,0.784
DOLO ICE LOC GEL MENTOLADA 120ML DAW,3.17,E.F.30.819,MENTOL,0.809
DOLO ICE LOC GEL MENTOLADA 250ML DAW,4.36,E.F.30.819,MENTOL,0.809
DOLO ICE LOC ROLL ON MENTOLADA 90ML DAW,3.27,E.F.537,MENTOL,0.777
DOPRIL SOL ORAL 3MG/ML X 60ML PED,4.81,E.F.43.652,PREDNISOLONA 3MG/ML,0.877
DROPIL COMP REC 100MG X40 DLR,11.34,E.F.39.862,QUETIAPINA 100MG 40COMP,0.837
DROPIL COMP REC 200MG X40 DLR,14.76,E.F.39.861,QUETIAPINA 200MG 40COMP,0.837
DUMS TAB MAST 750MG X20 CR DIST,7.78,E.F.G.42.542,CARBONATO DE CALCIO 750MG,0.805
DYMAZOL 3 OVUL 200MG X3 CR DIST,4.44,E.F.G.42.647,CLOTRIMAZOL  200MG  3 OVULOS,0.786
ELMETACIN SOL TOP 1% 30ML COMP,9.35,E.F.43.797,INDOMETACINA 1%,0.858
ELOK CREM 20G LIALI,2.17,E.F.44.466,"MOMETASONA FUROATO 0,1%  20GR",0.860
EPLERUNI TAB 50MG X30 UNIPH,31.91,E.F.36.507,EPLERENONA 50MG,0.809
ESONUV CAP 20MG X 30,6.14,E.F.42.489,ESOMEPRAZOL 20MG 30CAPS,0.823
EVIGAX CAP BLD 125MG X10 VIV,7.04,E.F.35.246,SIMETICONA 125MG,0.837
EVIGAX CAP BLD 125MG X20 VIV,10.31,E.F.35.246,SIMETICONA 125MG,0.854
"EXANIA EMUL 0,05% 60ML MEY",26.30,E.F.44.615,CLOBETASOL PROPIONATO,0.874
EZENTIUS COMP REC 20MG X20 MEG,10.52,E.F.42.994,ESCITALOPRAM 20MG,0.873
FARBICIL SOL 1% 30ML MEG,10.00,E.F.G.37.839,TERBINAFINA CLORHIDRATO,0.811
FARSENTAL TAB REC 10/125MG X10 DISK,7.95,E.F.31.488,PROPINOXATO 10MG/ CLONIXINATO DE LISINA  125MG,0.766
FEXOMED SUSP 30MG/5ML 120ML PHAR,4.09,E.F.41.359,FEXOFENADINA 30MG,0.839
