producto_id,nombre_comercial,foto_url,score,desc_cobeca
39253,"IBUPROFENO - TIOCOLCHICOSIDO 600 mg - 4 mg COMPRIMIDOS RECUBIERTOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23146.jpg",0.870,"IBUPROFENO/TIOCOL TAB 600/4MG X10 CR DAC"
38565,"NITROFURANTOINA 50 mg X 30 TABLETAS RECUBIERTAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29107.jpg",0.882,"NITROFURANTOINA TAB/REC 50MG X 30 CLX"
38436,"MELIF 50 mg - 500 mg X 30 COMPRIMIDOS RECUBIERTOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52755.jpg",0.763,"MELIF COMP REC 50MG/500MG X30 ELM"
37950,"DIOSMINA 600 mg X 30 COMPRIMIDOS RECUBIERTOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53053.jpg",0.931,"DIOSMINA COMP REC 600MG X30 VARG"
37335,"ACICLOVIR CREMA 5 %","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/54105.jpg",0.674,"ACICLOVIR CREM 5% 20G CR DAC"
37544,"AZITROMICINA 500mg X 5 COMPRIMIDOS RECUBIERTOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/6090.jpg",0.962,"AZITROMICINA COMP 500MG X5 LETI"
39054,"ANTAAR 2,5 mg X 30 TABLETAS RECUBIERTAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/15626.jpg",0.654,"ANTAAR TAB REC 2,5MG X30 CLX"
39011,"ACETAMINOFEN 500 mg X 10 TABLETAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22931.jpg",0.914,"ACETAMINOFEN COMP 500MG X10 LETI"
38538,"NEFROTAL 100 mg X 30 COMPRIMIDOS RECUBIERTOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/25248.jpg",0.729,"NEFROTAL COMP 100MG X30 MEG"
39183,"DICLOFENAC POTASICO 50 mg X 10 TABLETAS RECUBIERTAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/8409.jpg",0.746,"DICLOFENAC POTA COMP 50MG X10 LETI"
