ef,mol_inhrr,mol_cima,score
E.F.26.711,LISINOPRIL,Lisinopril,1.0
E.F.26.734,DICLOFENACO POTASICO,Diclofenaco,1.0
E.F.26.766,NIFEDIPINA,Nifedipino,0.9
E.F.26.767,NIFEDIPINA,Nifedipino,0.9
E.F.26.786,ENALAPRIL,Enalapril,1.0
E.F.26.786,HIDROCLOROTIAZIDA,Hidroclorotiazida,1.0
E.F.26.787,HIDROCLOROTIAZIDA,Hidroclorotiazida,1.0
E.F.26.930,TOBRAMICINA SULFATO,Tobramicina,1.0
E.F.26.930,DEXAMETASONA FOSFATO SÓDICO,Dexametasona,1.0
E.F.26.943,RAMIPRIL,Ramipril,1.0
E.F.26.981,METRONIDAZOL,Metronidazol,1.0
E.F.27.030,TINIDAZOL,Tinidazol,1.0
E.F.27.042,WARFARINA,Warfarina,1.0
E.F.27.058,TRIGLICERIDOS DE CADENA MEDIA,Trigliceridos Cadena Media,1.0
E.F.27.092,DEXAMETASONA FOSFATO SÓDICO,Dexametasona,1.0
E.F.27.092,TOBRAMICINA SULFATO,Tobramicina,1.0
E.F.27.122,FLUOXETINA,Fluoxetina,1.0
E.F.27.157,CIPROFLOXACINO,Ciprofloxacino,1.0
E.F.27.200,CLORURO DE SODIO,Calcio Cloruro,1.0
E.F.27.231,ACIDO ACETICO,Acetico Acido,1.0
E.F.27.233,LORATADINA,Loratadina,1.0
E.F.27.243,FLUCONAZOL,Fluconazol,1.0
E.F.27.286,PIROXICAM,Piroxicam,1.0
E.F.27.364,AZITROMICINA DIHIDRATO,Azitromicina,1.0
E.F.27.377,KETOROLACO,Ketorolaco,1.0
E.F.27.378,KETOROLACO,Ketorolaco,1.0
E.F.27.398,IBUPROFENO,Ibuprofeno,1.0
E.F.27.414,ACIDO FOLICO,Folico Acido,1.0
E.F.27.435,FLUCONAZOL,Fluconazol,1.0
E.F.27.447,ALBENDAZOL,Albendazol,1.0
E.F.27.452,CIPROFLOXACINO,Ciprofloxacino,1.0
E.F.27.455,IBUPROFENO,Ibuprofeno,1.0
E.F.27.457,AMLODIPINA,Amlodipino,0.9
E.F.27.471,DICLOFENACO POTASICO,Diclofenaco,1.0
E.F.27.475,CEFIXIMA,Cefixima,1.0
E.F.27.484,ACIDO FOLICO,Folico Acido,1.0
E.F.27.541,LORATADINA,Loratadina,1.0
E.F.27.553,CAFEINA,Cafeina,1.0
E.F.27.553,ACETAMINOFEN,Acetaminofen,1.0
E.F.27.560,FAMOTIDINA,Famotidina,1.0
E.F.27.596,IBUPROFENO,Ibuprofeno,1.0
E.F.27.634,ACIDO FOLICO,Folico Acido,1.0
E.F.27.651,LEVOCARNITINA,Levocarnitina,1.0
E.F.27.652,GRANISETRON,Granisetron,1.0
E.F.27.683,ONDANSETRON,Ondansetron,1.0
E.F.27.689,SALBUTAMOL,Salbutamol,1.0
E.F.27.693,TIOCOLCHICOSIDO,Tiocolchicosido,1.0
E.F.27.764,NICOTINAMIDA,Nicotinamida,1.0
E.F.27.764,VITAMINA C,Vitamina C,1.0
