nombre,nombre_generico_en,sinonimos,descripcion,atc_codigo
Benzhidramina,,,,
Benzhidroflumetiazida,Bendroflumethiazide,,,
Benzoato Sodio,Ganciclovir Sodium,,,
Benzobromarona,Benzbromarone,,,
Benzocaina,Benzocaine,,,
Benzoico Acido,Benzoic Acid,,,
Beremagen Geperpavec,Beremagene Geperpavec,,,
Bergamota,Bergamot Orange Extract,,,
Berotralstat,Berotralstat,,,
Berotralstat Dihidrocloruro,Berotralstat,,,
Besilesomab,,,,
Beta Glucuronidasa Humana Recombinante,Follitropin Beta,,,
Beta-dimetilaminoetil Benzhidril Eter,Beta Carotene,,,
"Beta-dimetilaminoetil Benzhidril Eter 1,3-dimetil-8-cloroxantina",,,,
Betahistina,Betahistine,,,
Betahistina Dihidrocloruro,Betahistine,,,
Betahistina Hidrocloruro,Betahistine,,,
Betaina,Betaine,,,
Betaina Anhidra,Betaine,,,
Betametasona,Betamethasone,,,
Betametasona Acetato,Betamethasone Acetate,,,
Betametasona Dipropionato,Betamethasone Dipropionate,,,
Betametasona Fosfato Sodio,Betamethasone,,,
Betametasona 17-valerato,Betamethasone,,,
Betametildigoxina,,,,
Beta-picolinico,Beta Carotene,,,
Betaxolol,Betaxolol,,,
Betaxolol Hidrocloruro,Betaxolol,,,
Betiatida,S-benzoylmercaptoacetyltriglycine,,,
Betula Alba,,,,
Betula Pendula R.,Silver Birch Pollen Allergenic Extract,,,
Betula Pendula R. Extracto Seco,Silver Birch Pollen Allergenic Extract,,,
Bevacizumab,Bevacizumab,,,
Bexaroteno,Bexarotene,,,
Bezafibrato,Bezafibrate,,,
Bezlotoxumab,Bezlotoxumab,,,
Bibrocatol,,,,
Bicalutamida,Bicalutamide,,,
Bicisato Dihidrocloruro,Bicisate,,,
Bictegravir,Bictegravir,,,
Bictegravir Sodio,Bictegravir,,,
Bifonazol,Bifonazole,,,
Bilastina,,,,
Bilastina Monohidrato,,,,
Bimatoprost,Bimatoprost,,,
Bimekizumab,Bimekizumab,,,
Biotina,Biotin,,,
Biotina D(+),D-biotin,,,
Bisacodilo,Bisacodyl,,,
Bisbutiamina,,,,
Bisibutiamina,,,,
Bismalva,,,,
Bismuto Subcitrato,Bismuth Subcitrate,,,
Bismuto Subcitrato Coloidal,Bismuth Subcitrate,,,
Bismuto Subcitrato Potasio,Bismuth Subcitrate,,,
Bisoprolol Fumarato,Bisoprolol Fumarate,,,
Bisoprolol Hemifumarato,Bisoprolol,,,
Bivalirudina,Bivalirudin,,,
Bleomicina,Bleomycin,,,
Bleomicina Sulfato,Bleomycin,,,
Blinatumomab,Blinatumomab,,,
Bordetella Pertussis Hemaglutinina Filamentosa,Bordetella Pertussis,,,
