codigo,nombre,nivel,es_sistema
A10BD02,Metformina y sulfonamidas,5,true
A10BD03,Metformina y rosiglitazona,5,true
A10BD04,Glimepirida y rosiglitazona,5,true
A10BD05,Metformina y pioglitazona,5,true
A10BD06,Glimepirida y pioglitazona,5,true
A10BD07,Metformina y sitagliptina,5,true
A10BD08,Metformina y vildagliptina,5,true
A10BD09,Pioglitazona y alogliptina,5,true
A10BD10,Metformina y saxagliptina,5,true
A10BD11,Metformina y linagliptina,5,true
A10BD13,Metformina y alogliptina,5,true
A10BD15,Metformina y dapagliflozina,5,true
A10BD16,Metformina y canagliflozina,5,true
A10BD19,Linagliptina y empagliflozina,5,true
A10BD20,Metformina y empagliflozina,5,true
A10BD21,Saxagliptina y dapagliflozina,5,true
A10BD22,Metformina y evogliptina,5,true
A10BD23,Metformina y ertugliflozina,5,true
A10BD29,Sitagliptina y dapagliflozina,5,true
A10BD31,"Metformina, sitagliptina y dapagliflozina",5,true
A10BD32,Glimepirida y dapagliflozina,5,true
A10BD33,Pioglitazona y dapagliflozina,5,true
